manu_sku,product_name,prod_page_url,updated_on,CASE,Price,Code
S-22945,"Economy Colored Poly Bubble Mailer Envelopes 14.25W x 20""H""",https://www.uline.com/BL_2350/Uline-Economy-Colored-Poly-Bubble-Mailers,03-01-2025 16:46,"[50, 150, 250, 500]","[0.83, 0.86, 0.89, 0.93]","['C', 'C', 'C', 'C']"
S-6119,Colored Crinkle Paper (10 lbs.),https://www.uline.com/BL_1908/Crinkle-Paper?keywords=Crinkle+Paper,03-01-2025 16:46,"[1,5,10]","[54.0, 54.0, 54.0]","['C', 'C', 'C']"
S-6118,Kraft Crinkle Paper (10 lbs.),https://www.uline.com/BL_1908/Crinkle-Paper?keywords=Crinkle+Paper,03-01-2025 16:46,"[1,5,10]","[40.0,48.0,36.0]","['C', 'C', 'C']"
S-7645,White Crinkle Paper (10 lbs.),https://www.uline.com/BL_1908/Crinkle-Paper?keywords=Crinkle+Paper,03-01-2025 16:46,"[1,5,10]","[47.0,45.0,42.0]","['C', 'C', 'C']"
S-9834,Metallic Blends Crinkle Paper (10 lbs.),https://www.uline.com/BL_1908/Crinkle-Paper?keywords=Crinkle+Paper,03-01-2025 16:46,"[1,5,10]","[98.0, 92.0, 89.0]","['C', 'C', 'C']"
S-13287,Kraft Shipping Box 3x3x3,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.37, 0.36, 0.35, 0.33, 0.31]","['C', 'C', 'C', 'C', 'C']"
S-16725,Kraft Shipping Box 4x4x3,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.39, 0.37, 0.36, 0.35, 0.33]","['C', 'C', 'C', 'C', 'C']"
S-4040,Kraft Shipping Box 4x4x4 (Coffee Mug Box),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.32, 0.32, 0.32, 0.32, 0.32]","['C', 'C', 'C', 'C', 'C']"
S-22101,Kraft Lightweight Shipping Box 4x4x4 (32 ECT Lightweight),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.24, 0.24, 0.24, 0.24, 0.24]","['C', 'C', 'C', 'C', 'C']"
S-4575,Kraft Shipping Box 4x4x4,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.46, 0.45, 0.43, 0.39, 0.37]","['C', 'C', 'C', 'C', 'C']"
